game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success
ARI202206150,2022/06/15,PHO01,8,1,1,3,martk001,B,warra002,garca006,smitp002,12,4,3,1,perad001,martk001,,1
ARI202206150,2022/06/15,PHO01,8,1,1,2,perad001,L,warra002,garca006,smitp002,12,4,3,1,perad001,martk001,,1
ARI202206190,2022/06/19,PHO01,6,1,1,2,rojaj001,L,thiec001,sancg002,perad001,01,3,1,2,rojaj001,,thoma004,1
ARI202206250,2022/06/25,PHO01,1,0,2,2,baezj001,R,daviz001,herrj003,cabrm001,22,0,0,0,baezj001,,,0
ARI202206260,2022/06/26,PHO01,7,0,1,2,greer003,L,ramin002,kellc002,torks001,12,6,11,-5,greer003,,,1
ARI202207040,2022/07/04,PHO01,2,0,2,2,slata001,R,bumgm001,kellc002,florw001,11,2,2,0,slata001,,villd001,1
ARI202207040,2022/07/04,PHO01,2,1,2,2,hummc001,B,rodoc001,casac001,martk001,11,3,2,1,hummc001,,,1
ARI202207040,2022/07/04,PHO01,8,1,1,2,varsd001,L,llovm001,wynna001,perdg001,01,8,3,5,varsd001,,,1
ARI202207060,2022/07/06,PHO01,9,0,2,2,pedej001,L,popps001,herrj003,mercy001,11,7,4,3,pedej001,,slata001,1
ARI202207070,2022/07/07,PHO01,2,1,2,2,varsd001,L,gomba001,diaze005,perdg001,20,2,2,0,varsd001,,,0
ARI202207070,2022/07/07,PHO01,7,1,2,2,rojaj001,L,gilbl001,diaze005,perdg001,00,3,3,0,rojaj001,,,1
ARI202207070,2022/07/07,PHO01,9,0,2,2,blacc001,L,melam001,kellc002,joe-c001,21,4,3,1,blacc001,,gricr001,1
ARI202207080,2022/07/08,PHO01,1,1,1,2,thoma004,L,kuhlc001,servb001,walkc002,22,1,1,0,thoma004,,,0
ARI202207080,2022/07/08,PHO01,2,0,1,2,iglej001,R,gallz001,herrj003,gricr001,32,1,1,0,iglej001,,,0
