game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
BAL202408150,2024/08/15,BAL12,3,1,0,2,mullc002,L,piven001,R,wongc001,uriar001,32,0,0,0,mullc002,,,1,0
BAL202408160,2024/08/16,BAL12,3,1,2,2,mullc002,L,crisc002,R,wongc001,uriar001,00,3,4,-1,mullc002,,hollj003,1,0
BAL202408160,2024/08/16,BAL12,7,0,1,2,sogan001,B,kimbc001,R,mccaj001,hamid002,00,8,6,2,sogan001,,,1,0
BAL202408160,2024/08/16,BAL12,9,0,0,2,hamid002,L,bakeb001,R,mccaj001,rafac001,00,12,10,2,hamid002,,,1,0
BAL202408170,2024/08/17,BAL12,7,0,2,2,duraj001,L,canoy001,R,mccaj001,refsr001,00,3,1,2,duraj001,,,1,0
BAL202408180,2024/08/18,BAL12,3,0,2,2,duraj001,L,suara001,R,rutsa001,abrew002,21,0,0,0,duraj001,,,1,0
BAL202408180,2024/08/18,BAL12,3,1,2,2,mullc002,L,crawk001,R,wongc001,cowsc001,10,0,0,0,mullc002,,,1,0
BAL202408180,2024/08/18,BAL12,8,1,2,2,slata001,R,bernb001,L,jansd001,hendg002,21,4,1,3,slata001,,,1,0
BAL202408230,2024/08/23,BAL12,2,1,2,2,uriar001,R,browh001,R,diazy004,mccaj001,12,1,0,1,uriar001,,mullc002,1,0
BAL202408250,2024/08/25,BAL12,2,0,1,2,carav001,B,kremd001,R,rutsa001,gameb001,32,0,0,0,carav001,,,0,0
BAL202409020,2024/09/02,BAL12,2,0,1,2,vargm001,R,burnc002,R,rutsa001,amayj001,11,2,1,1,vargm001,,,1,0
BAL202409030,2024/09/03,BAL12,2,1,2,2,hendg002,L,nastn001,R,lee-k002,ohear001,10,3,0,3,hendg002,,,1,0
BAL202409040,2024/09/04,BAL12,2,1,1,2,mullc002,L,cannj001,R,robic003,mayoc001,00,1,1,0,mullc002,,,1,0
BAL202409040,2024/09/04,BAL12,3,1,2,2,hendg002,L,cannj001,R,robic003,rutsa001,11,1,1,0,hendg002,,,0,0
BAL202409060,2024/09/06,BAL12,5,0,0,2,deluj001,R,kremd001,R,rutsa001,cabaj001,12,0,0,0,deluj001,,,0,0
BAL202409060,2024/09/06,BAL12,9,0,1,3,lowej002,L,domis001,R,rutsa001,cabaj001,02,0,2,-2,deluj001,lowej002,,1,1
BAL202409060,2024/09/06,BAL12,9,0,1,2,deluj001,R,domis001,R,rutsa001,cabaj001,02,0,2,-2,deluj001,lowej002,,1,1
