date,inning,half,outs,base_code,score_diff,target,p_model,success,layer,break_even,decision,actual_value,min_n
2025/06/08,1,0,1,1__,1,2,0.75583035,0,RE24,0.737073953057131,GO,-0.4262034573909564,
2025/06/08,3,0,2,1__,1,2,0.7615113,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/08,8,1,1,_2_,0,3,0.82010317,1,WP,1.0,HOLD,-0.010822510822510845,33.0
2025/06/08,8,1,2,1__,1,2,0.79731005,1,WP,0.4542072804784659,GO,0.025302595954769913,138.0
2025/06/08,3,0,2,1__,2,2,0.80968934,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/08,3,1,1,1__,-2,2,0.7207824,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/09,3,1,2,12_,3,3,0.7800948,1,RE24,0.911205936383112,HOLD,0.044643151794710956,
2025/06/09,5,0,2,1__,-4,2,0.8157296,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/09,8,1,0,1__,2,2,0.71967864,1,WP,0.6189010989010982,GO,0.026153846153846194,49.0
2025/06/09,7,0,1,1__,0,2,0.7793623,1,WP,0.2465557709970408,GO,0.07012195121951215,120.0
2025/06/09,7,1,2,1__,-1,2,0.87056243,1,WP,0.22405219677551116,GO,0.007002489538640855,105.0
2025/06/09,8,1,2,1__,-1,2,0.8511356,1,WP,0.4550223583735899,GO,0.03610013175230564,115.0
2025/06/09,9,0,1,1__,1,2,0.7114659,1,WP,0.9562776838667175,HOLD,0.0019901719901719295,148.0
2025/06/09,9,0,1,_2_,1,3,0.64671636,1,WP,1.0,HOLD,-0.008508508508508483,54.0
2025/06/09,1,1,2,1__,0,2,0.7912709,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/09,3,1,2,12_,0,3,0.73101616,1,RE24,0.911205936383112,HOLD,0.044643151794710956,
2025/06/09,6,0,1,1__,1,2,0.7546778,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/09,1,1,0,1__,0,2,0.7274077,0,RE24,0.7314008155412673,HOLD,-0.6268771639517962,
2025/06/09,1,0,0,1__,0,2,0.8144145,0,RE24,0.7314008155412673,GO,-0.6268771639517962,
2025/06/09,2,1,2,1_3,0,2,0.89292735,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
2025/06/09,5,1,2,1__,0,2,0.77512586,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/10,3,1,2,1__,0,2,0.7197484,0,RE24,0.7143336095124673,GO,-0.23052279015581767,
2025/06/10,8,1,2,1__,0,2,0.7272266,1,WP,1.0,HOLD,-0.0010087025316455334,128.0
2025/06/10,5,0,1,1__,-3,2,0.7882751,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/10,6,0,1,1__,-2,2,0.78531003,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/10,6,1,0,1__,2,2,0.6911814,1,RE24,0.7314008155412673,HOLD,0.23021398310671604,
2025/06/10,6,1,0,1__,5,2,0.7947568,1,RE24,0.7314008155412673,GO,0.23021398310671604,
2025/06/10,3,1,2,1__,-1,2,0.7209877,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/10,2,0,2,1__,-2,2,0.7274098,1,RE24,0.7143336095124673,GO,0.09218747726831977,
